"date","counts","avg_temp","min_temp","max_temp","rainfall","wind_speed","humidity","snowfall","ground_temp","dust","year","month"
"2020-05-22",89317,18.5,14.8,22.7,0,1.9,68.5,0,20,53,"2020","05"
"2020-05-23",101256,20.1,16.6,25,0,2.2,66.1,0,23.3,50,"2020","05"
"2020-05-24",80357,17.1,14.3,20.2,14.5,2.9,84.8,0,19,29,"2020","05"
"2020-05-25",92531,16.6,13.7,21.3,0,2.1,81,0,20.3,45,"2020","05"
"2020-05-26",68498,16.2,12.7,22.9,1.5,2.1,81.9,0,19.2,48,"2020","05"
"2020-05-27",101949,17.4,11.8,23.9,0,2.6,68.5,0,21.4,19,"2020","05"
"2020-05-28",99792,18.7,14.2,23.4,0,1.9,62.8,0,20.5,24,"2020","05"
"2020-05-29",103999,20.7,14.6,27.6,0,2,65.6,0,24.3,30,"2020","05"
"2020-05-30",105172,22.6,16.5,30,0,1.9,57.3,0,27.6,33,"2020","05"
"2020-05-31",93547,21.2,17.6,28,1,2.3,63,0,25.7,34,"2020","05"
"2020-06-01",99930,19.7,16.6,24.5,0.4,3.4,64.3,0,26.6,25,"2020","06"
"2020-06-02",79833,17.9,14.8,21.8,2,2.2,71,0,18.3,NA,"2020","06"
"2020-06-03",103887,22,17.6,28.4,0,2.4,73.3,0,27.1,56,"2020","06"
"2020-06-04",97656,21.9,19.7,26.5,0.2,2.7,81.1,0,26.8,71,"2020","06"
"2020-06-05",107343,23,18.4,28.7,0,1.8,69.4,0,29.8,42,"2020","06"
"2020-06-06",105033,24.6,19.2,30.9,0,2,63.6,0,31.4,48,"2020","06"
"2020-06-07",101848,22.7,19.2,29.2,0,2.3,69.4,0,30.2,41,"2020","06"
"2020-06-08",103582,25,19.8,32,0,2.1,63.6,0,32.7,39,"2020","06"
"2020-06-09",102084,26.7,20.3,32.8,0,2.3,51.6,0,34.1,47,"2020","06"
"2020-06-10",58133,25.8,22.5,32.1,6.2,2,63.8,0,32.8,47,"2020","06"
"2020-06-11",100031,26.1,21.7,31.6,0,2.2,68.3,0,30.1,NA,"2020","06"
"2020-06-12",109210,24.7,21.6,27.6,0,1.7,68.6,0,25.8,NA,"2020","06"
"2020-06-13",90396,26.9,20.6,33.5,0,1.9,52.8,0,34.6,52,"2020","06"
"2020-06-14",94406,24,20.1,28.8,1.1,2.9,70.6,0,29.6,NA,"2020","06"
"2020-06-15",108320,23,18.2,28.6,0,2.8,62.3,0,31.1,35,"2020","06"
"2020-06-16",106519,24.4,20,30.7,0,2.2,63,0,32.2,NA,"2020","06"
"2020-06-17",107723,24.3,20.2,30.3,0,2,58.6,0,31.1,NA,"2020","06"
"2020-06-18",110377,23.4,20.3,27.3,0,1.6,61.4,0,26.7,40,"2020","06"
