year,month,day,dust,temp,wind,rain
2019,3,9,18,10.3,26.1,1.8
2019,3,10,11,8,29.2,9.7
2019,3,11,17,7.5,26.5,0
2019,3,12,13,7.9,27.8,7.7
2019,3,13,19,9.2,33.6,0
2019,3,14,16,10.8,30.3,4
2019,3,15,14,13,31.9,2.6
2019,3,16,16,11.5,32.8,3.5
2019,3,17,12,7.6,23.6,1.5
2019,3,18,21,8.4,15.2,0
2019,3,19,27,10,11.4,0.9
2019,3,20,21,11.5,13.3,0
2019,3,21,24,12.3,10.5,0
2019,3,22,23,10.7,12.6,0
2019,3,23,24,10.3,11.4,0
2019,3,24,23,9.1,12.2,0
2019,3,25,22,9.5,16,0
2019,3,26,32,8.7,8.6,0
2019,3,27,27,10.2,6.4,0
2019,3,28,35,11.2,6.8,0
2019,3,29,45,11,7.8,0
2019,3,30,53,12.9,5.1,0
2019,3,31,31,9.5,20.3,0
2019,4,1,25,8.4,14.5,0
2019,4,2,30,7.1,12.2,2.6
2019,4,3,16,5.6,8.4,2.2
2019,4,4,12,6.8,17.5,0.4
2019,4,5,17,10.1,21.3,0
2019,4,6,22,9,15.6,0
2019,4,7,47,9.3,8.3,0.4
2019,4,8,49,10.2,6.5,1.8
2019,4,9,40,9.6,12.3,2.4
2019,4,10,23,8.4,17.5,0
2019,4,11,23,6.8,14.3,0
2019,4,12,22,7,13.2,0
2019,4,13,21,3.3,7,0.9
2019,4,14,25,5.9,15,0
2019,4,15,43,9,18.7,0
2019,4,16,55,11.5,8.8,0.1
2019,4,17,57,12.3,10.5,0
2019,4,18,53,14,14.6,0
2019,4,19,42,15.6,10.6,0
2019,4,20,40,16.2,10.5,0
2019,4,21,40,15.3,12,0
2019,4,22,56,15.4,12.2,0
2019,4,23,45,14.9,11.8,0
2019,4,24,38,13.6,14.8,0.2
2019,4,25,18,12.8,17.6,0
2019,4,26,22,12.4,17,0
2019,4,27,23,10.7,31.4,0.7
2019,4,28,16,10.9,18.7,0.7
2019,4,29,27,10.6,8.8,0
2019,4,30,35,11.5,9.6,0
2019,5,1,30,13,9.2,0
2019,5,2,23,13.2,13.9,5.1
2019,5,3,20,10.3,8.3,2.6
2019,5,4,16,8,16.5,1.5
2019,5,5,24,8.8,10.3,0
2019,5,6,16,10.5,14.1,0
2019,5,7,22,12.3,12,0
2019,5,8,22,11.9,17.7,13.6
2019,5,9,22,11.7,9.5,0.4
2019,5,10,18,12.9,7.5,0.4
2019,5,11,16,11.7,9.2,0.4
2019,5,12,16,11.8,12.1,0
2019,5,13,17,11.7,13.4,0
2019,5,14,17,12.8,17.5,0
2019,5,15,30,13.2,13.3,0
2019,5,16,27,13,17.1,0
2019,5,17,25,12,11.3,0.4
2019,5,18,28,14.1,5.5,2.4
2019,5,19,27,14.7,7.2,0
2019,5,20,27,16.2,8.8,0
2019,5,21,20,16.4,10.4,0
2019,5,22,24,16.7,9.8,0
2019,5,23,23,18.1,13.1,0
2019,5,24,20,17.7,12.8,2.6
2019,5,25,16,18.8,13.5,0
2019,5,26,18,18.6,19.4,1.3
2019,5,27,16,15.7,19.4,0
2019,5,28,15,13.7,14.8,0.2
2019,5,29,20,14,14.8,0.7
2019,5,30,20,19.6,20.1,0.2
2019,5,31,18,18,16.3,0
2019,6,1,20,20.5,10.8,0
2019,6,2,20,22,18.2,0
2019,6,3,21,16.8,18.4,0
2019,6,4,26,15,14.2,2.2
2019,6,5,19,16,14.8,0
2019,6,6,20,15.6,16,0.2
2019,6,7,23,15,19.7,2.9
2019,6,8,22,15.2,26.1,3.1
2019,6,9,24,15.4,10.5,0.4
2019,6,10,14,12.7,10.1,21.3
2019,6,11,17,14.5,9.2,1.5
2019,6,12,20,13.4,7.2,5.3
2019,6,13,19,14.2,19.2,2.6
2019,6,14,21,16.3,17.5,1.5
2019,6,15,20,16.2,14.4,0.4
2019,6,16,16,16.1,17.6,0.4
2019,6,17,20,17.8,15.4,0
2019,6,18,22,16.9,8,4.6
2019,6,19,22,16.9,9,5.5
2019,6,20,20,17.1,17.5,0.4
2019,6,21,16,17,13,0
2019,6,22,15,17.8,14.8,0
2019,6,23,3,18.6,15.3,0
2019,6,24,35,22,9.4,0
2019,6,25,31,20.5,8.7,6.8
2019,6,26,16,17.5,15.2,0
2019,6,27,20,17.1,24.4,0
2019,6,28,27,17.6,25.7,0
2019,6,29,33,24.5,13.3,0
2019,6,30,20,21.3,22.1,0
2019,7,1,15,18.7,19.1,0
2019,7,2,16,17.9,10.7,0
2019,7,3,19,18,11.7,0
2019,7,4,20,20.1,6.8,0
2019,7,5,22,22.6,11.7,0
2019,7,6,16,20.1,9.6,1.1
2019,7,7,17,17.1,13.4,2.2
2019,7,8,22,17.9,13,0
2019,7,9,20,19.3,9.5,0
2019,7,10,19,21.8,13.4,0
2019,7,11,16,22,14.1,0
2019,7,12,13,21.4,17.7,0
2019,7,13,15,19.4,11.3,0
2019,7,14,14,17.8,10.5,3.3
2019,7,15,17,17.1,9,0
2019,7,16,23,20.6,10.7,0
2019,7,17,25,21.4,12.1,0
2019,7,18,12,20,15.8,2.2
2019,7,19,8,18.1,14.4,5.9
2019,7,20,17,20.4,19.8,9.2
2019,7,21,12,19.5,15.7,0
2019,7,22,18,22.1,16,0
2019,7,23,28,25.1,13.7,0
2019,7,24,33,27.1,14.2,1.1
2019,7,25,34,28.9,12.8,0
2019,7,26,23,23.3,12.2,2
2019,7,27,14,18.9,16.4,11
2019,7,28,15,19.2,19.3,0
2019,7,29,17,20.8,14,0
2019,7,30,14,19.3,21,5.5
2019,7,31,12,19.9,22.8,0
2019,8,1,16,20.5,11.4,0
2019,8,2,23,20.2,10.5,0
2019,8,3,22,20.2,9.4,0
2019,8,4,22,21,13.2,0
2019,8,5,19,20.4,17.5,0.9
2019,8,6,21,19.8,19,0.4
2019,8,7,27,19.3,18.3,1.1
2019,8,8,19,20.2,13.3,0
2019,8,9,21,21.5,22,6.4
2019,8,10,23,19.2,30.5,1.3
2019,8,11,17,18.9,21.8,0
2019,8,12,14,15.6,9.6,4
2019,8,13,15,17,15.4,0
2019,8,14,11,16.6,13.1,13.4
2019,8,15,12,19.1,22.7,0
2019,8,16,17,17.3,17,3.7
2019,8,17,16,19.3,18.9,0.2
2019,8,18,16,17.7,16.4,4.8
2019,8,19,22,17.4,19.1,0.4
2019,8,20,19,17.4,15.1,0
2019,8,21,20,18.1,11.7,0
2019,8,22,21,19.2,14.1,0
2019,8,23,26,20.8,9.5,0
2019,8,24,41,21.8,9.3,0
